ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
UAA,415,2024-01-02,2025-08-27,5.04,-41.93548387096774,daily_data_uaa_complete.csv
AVTR,415,2024-01-02,2025-08-27,13.19,-42.02197802197802,daily_data_avtr_complete.csv
SNAP,415,2024-01-02,2025-08-27,6.99,-56.69144981412639,daily_data_snap_complete.csv
COTY,415,2024-01-02,2025-08-27,4.2,-65.63011456628477,daily_data_coty_complete.csv
TSLY,415,2024-01-02,2025-08-27,8.11,-66.15191986644408,daily_data_tsly_complete.csv
UNH,415,2024-01-02,2025-08-27,303.88,-43.65706233544703,daily_data_unh_complete.csv
MRNA,415,2024-01-02,2025-08-27,25.1,-77.68888888888888,daily_data_mrna_complete.csv
SOUN,415,2024-01-02,2025-08-27,11.91,472.5961538461538,daily_data_soun_complete.csv
TSLG,175,2024-12-13,2025-08-27,6.73,-58.55962364995505,daily_data_tslg_complete.csv
SQQQ,415,2024-01-02,2025-08-27,17.63,-75.06364922206507,daily_data_sqqq_complete.csv
TSLL,415,2024-01-02,2025-08-27,13.5,-5.923344947735187,daily_data_tsll_complete.csv
HKPD,155,2025-01-15,2025-08-27,1.57,-44.32624113475177,daily_data_hkpd_complete.csv
UVXY,415,2024-01-02,2025-08-27,11.9,-71.76749703440095,daily_data_uvxy_complete.csv
DJT,357,2024-03-26,2025-08-27,17.92,-69.09812036558027,daily_data_djt_complete.csv
CGC,415,2024-01-02,2025-08-27,1.51,-68.47599164926932,daily_data_cgc_complete.csv
CONY,415,2024-01-02,2025-08-27,6.92,-73.82753403933434,daily_data_cony_complete.csv
CNC,415,2024-01-02,2025-08-27,28.84,-62.462579721462966,daily_data_cnc_complete.csv
TSLQ,415,2024-01-02,2025-08-27,13.78,-91.79175601620206,daily_data_tslq_complete.csv
TSLZ,415,2024-01-02,2025-08-27,1.24,-94.5642882505337,daily_data_tslz_complete.csv
PLTD,177,2024-12-11,2025-08-27,7.99,-67.29551510587002,daily_data_pltd_complete.csv
UVIX,415,2024-01-02,2025-08-27,12.0,-91.23447772096421,daily_data_uvix_complete.csv
CAN,415,2024-01-02,2025-08-27,0.7498,-65.28703703703704,daily_data_can_complete.csv
IBIO,415,2024-01-02,2025-08-27,0.8071,-41.51449275362318,daily_data_ibio_complete.csv
NVD,415,2024-01-02,2025-08-27,9.4,-98.100050530571,daily_data_nvd_complete.csv
IXHL,415,2024-01-02,2025-08-27,0.6703,-84.76590909090909,daily_data_ixhl_complete.csv
NVDQ,415,2024-01-02,2025-08-27,1.005,-98.31225754446068,daily_data_nvdq_complete.csv
NVOX,183,2024-12-03,2025-08-27,3.75,-81.4149423863214,daily_data_nvox_complete.csv
SOXS,415,2024-01-02,2025-08-27,6.65,-89.65785381026438,daily_data_soxs_complete.csv
MRKR,415,2024-01-02,2025-08-27,0.9399,-82.78571428571428,daily_data_mrkr_complete.csv
VRAX,415,2024-01-02,2025-08-27,0.5948,-56.583941605839414,daily_data_vrax_complete.csv
JDST,415,2024-01-02,2025-08-27,7.29,-87.18804920913884,daily_data_jdst_complete.csv
